Game, Date, PlayerID, GroupID, Track, Sandbox, Obstacles, Surface, Tire, Engine, Body, Finished, FinishedTime, TopSpeed, TimeToTopSpeed, PathCurvature1, CheckPoint1, PathCurvature2, CheckPoint2, PathCurvature3, CheckPoint3, MaxVelocity, Acceleration, AccelerationCurve, Suspension, Drag, Steer, Grip
127,7/18/2020 11:39,priy,damg,BumpyTrack,1,0,Normal,Classic,Classic,Classic,1,106.141,13.8333,41.0824,360,18.3631,1440,67.8068,720,98.8492,11,5.47,5.47,0,5,5,0.73
128,7/18/2020 11:43,priy,damg,BumpyTrack,1,0,Normal,Classic,Classic,Classic,0,106.141,13.258,51.5282,360,20.7395,1440,75.7731,720,114.35,10,5.04,5.04,0,7,5,0.8
129,7/18/2020 11:47,test,test1,MountainTrack,0,1,Icy,Muscle,Classic,Roadster,1,97.5525,15.6406,76.5853,990,22.0174,1080,43.701,990,87.1189,15,8,0.4,0.5,15,10,0.5
130,7/18/2020 11:48,test,test1,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,81.4691,14.9866,62.7182,1440,21.9846,1440,46.551,1080,65.485,15,8,0.4,0.2,20,5,0.9
131,7/18/2020 11:50,priy,damg,BumpyTrack,1,0,Normal,Classic,Classic,Classic,1,107.396,14.7913,48.9272,360,16.1194,1440,74.8354,720,100.444,12,8.07,8.07,0,5,5,0.81
132,7/18/2020 11:50,test,test1,WindingTrack,0,0,Sandy,Classic,Classic,4x4,1,78.4521,14.9862,29.1842,1440,21.0508,1440,43.985,1080,62.535,15,8,0.4,0.2,50,5,0.9
133,7/18/2020 11:51,test,test1,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,7.0502,29.9713,0.09997,0,5.7501,0,4.03356,0,1.08345,30,30,30,0.5,10,10,0.65
134,7/18/2020 11:54,test,test1,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,35.3843,8.42683,19.6839,0,29.6173,0,22.2669,0,10.0998,30,0.53,0.53,0,0,0,0.4
135,7/18/2020 11:54,priy,damg,BumpyTrack,1,0,Normal,Classic,Classic,Classic,1,111.247,11.5296,48.4595,360,19.7229,1440,73.2474,720,102.691,10,7.69,7.69,0,5,5,0.9
136,7/18/2020 11:56,test,test1,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,48.6843,6.50544,48.6676,0,42.5842,0,33.7673,0,16.1667,30,0.4,0.4,0,0,0,0.9
137,7/18/2020 11:56,test,test1,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,10.7505,29.9712,1.38336,0,9.13367,0,7.36701,0,2.03334,30,30,30,0,0,15,0.9
138,7/18/2020 12:04,kim,jongdae,BumpyTrack,1,0,Normal,Classic,Classic,Classic,1,91.2731,15.1675,41.7099,360,16.7679,1440,61.0193,720,85.2919,13,5.94,5.94,0,5,5,0.9
139,7/18/2020 12:07,kim,jongdae,BumpyTrack,1,0,Normal,Classic,Classic,Classic,1,118.558,15.1429,66.212,360,44.1046,1440,89.1003,720,111.543,13,10.35,10.35,0,5,5,0.9
140,7/18/2020 12:10,kim,jongdae,BumpyTrack,1,0,Normal,Classic,Classic,Classic,0,118.558,14.3738,54.9258,360,17.4598,1440,91.7119,720,117.282,12,9.18,9.18,0,5,5,0.9
141,7/18/2020 12:15,test,test,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,32.665,14.9858,30.5324,0,4.83275,270,12.9153,270,27.4156,15,8,0.4,0.2,10,5,0.8
142,7/18/2020 12:15,kim,jongdae,BumpyTrack,0,0,Normal,Classic,Classic,Classic,0,120.03,16.7728,88.1983,360,16.7452,1440,115.548,720,117.282,15,8,0.4,0.2,10,5,0.8
143,7/18/2020 12:18,kim,jongdae,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,99.8859,15.3031,37.645,360,16.4762,1440,68.8708,720,94.474,15,8,0.4,0.2,10,5,0.8
144,7/18/2020 12:23,test,test,BumpyTrack,0,0,Normal,Muscle,4x4,Muscle,1,54.816,21.1068,23.2322,360,10.2166,1440,36.8327,720,51.0828,21,11,0.8,0.5,15,5,0.5
145,7/18/2020 12:24,kim,jongdae,BumpyTrack,1,0,Normal,Classic,Classic,Classic,0,99.8859,18.7619,108.767,360,53.6249,1440,110.764,720,94.474,13,8.76,8.76,0,5,5,0.9
146,7/18/2020 12:26,test,test,WindingTrack,0,0,Sandy,4x4,4x4,4x4,1,55.7552,20.98,38.0037,1440,14.6385,1440,30.8634,1080,43.9788,21,11,0.8,1,50,6,0.9
147,7/18/2020 12:29,test,test1,BumpyTrack,0,0,Normal,Muscle,4x4,Muscle,0,10.7505,21.0191,89.9521,360,26.1006,1440,120.003,720,2.03334,21,11,0.8,0.5,15,5,0.5
148,7/18/2020 12:35,test,test1,BumpyTrack,0,0,Normal,Muscle,4x4,Muscle,1,58.7683,21.2722,26.3676,360,11.4503,1440,39.9683,720,53.9351,21,11,0.8,0.5,15,5,0.5
149,7/18/2020 12:37,test,test,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,81.0858,16.5046,26.5499,990,18.5497,1080,33.2667,990,63.9089,15,8,0.4,0.2,5,10,0.8
150,7/18/2020 12:41,test,test,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,7.05132,29.9713,0.10017,0,5.75058,0,4.0336,0,1.08365,30,30,30,1,0,15,0.9
151,7/18/2020 18:39,A,1,CountryTrack,0,0,Normal,Classic,Classic,Classic,0,0,14.9858,18.4402,0,4.85106,270,16.9895,270,0,15,8,0.4,0.2,10,5,0.8
152,7/18/2020 18:41,A,1,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,68.0427,14.9858,48.3191,0,24.9761,270,33.1293,270,59.6562,15,8,0.4,0.2,10,5,0.8
153,7/18/2020 18:44,A,1,BumpyTrack,0,0,Normal,4x4,4x4,Muscle,1,97.7372,21.1126,35.9141,360,14.2722,1440,78.4299,720,93.902,21,11,0.8,1,15,6,0.9
154,7/19/2020 8:37,vivi,monsieur,WindingTrack,0,0,Sandy,Muscle,Classic,Muscle,1,95.171,15.0005,76.7298,1440,25.5848,1440,50.8036,1080,77.7623,15,8,0.4,0.5,25,5,0.6
155,7/19/2020 9:12,Sneha Lohani,idk,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,43.079,14.9858,42.2955,0,7.36162,270,17.3381,270,37.9136,15,8,0.4,0.2,10,5,0.8
156,7/19/2020 9:14,Sneha Lohani,idk,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,111.616,15.0506,38.6895,360,20.344,1440,83.9045,720,105.419,15,8,0.4,0.2,10,5,0.8
157,7/19/2020 9:16,Sneha Lohani,idk,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,99.1938,14.9865,55.1194,1440,25.1988,1440,59.2933,1080,80.6515,15,8,0.4,0.2,20,5,0.9
158,7/20/2020 3:46,sechan,1billionViews,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,96.7279,16.5601,49.8465,360,26.6902,1440,68.3919,720,91.5127,15,8,0.4,0.2,10,5,0.8
159,7/20/2020 3:49,sechan,1billionViews,BumpyTrack,0,0,Normal,Classic,Classic,4x4,1,78.9548,16.0254,36.2377,360,18.097,1440,53.3013,720,73.2742,15,8,0.4,0.2,40,5,0.8
160,7/20/2020 4:39,hari_srini,india,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.5031,14.9858,24.0207,0,5.25063,270,13.4892,270,28.0577,15,8,0.4,0.2,10,5,0.8
161,7/20/2020 4:41,hari_srini,india,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,74.9936,15.7437,30.8646,360,13.8493,1440,49.3277,720,69.8107,15,8,0.4,1,20,6,0.9
162,7/20/2020 4:42,hari_srini,india,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,79.1685,15.6844,28.7993,360,13.6204,1440,53.501,720,73.0332,15,8,0.4,1,20,6,0.9
163,7/20/2020 4:44,hari_srini,india,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,70.6834,16.7014,30.8414,360,13.6022,1440,46.191,720,65.4353,15,8,0.4,1,20,6,0.9
164,7/20/2020 4:45,hari_srini,india,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,75.0655,16.0256,28.6494,360,12.7,1440,50.0033,720,69.8667,15,8,0.4,1,20,6,0.9
165,7/20/2020 4:47,hari_srini,india,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,81.0656,15.5126,29.8764,360,14.0663,1440,53.9392,720,74.3225,15,8,0.4,1,20,6,0.9
166,7/20/2020 8:48,racer,race,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,37.6154,14.9858,36.5736,0,5.98366,270,15.3492,270,32.1992,15,8,0.4,0.2,10,5,0.8
167,7/20/2020 8:50,urmom,urfam,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,58.3686,14.9865,46.2209,0,6.70504,270,15.961,270,53.0063,15,8,0.4,0.2,10,5,0.8
168,7/20/2020 8:50,racer,race,BumpyTrack,0,0,Normal,Muscle,Classic,Roadster,1,81.7865,16.3162,29.6493,360,13.8527,1440,49.0296,720,76.5007,15,8,0.4,0.5,20,5,0.5
169,7/20/2020 9:08,kim,jongdae,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,44.61,14.9858,29.0602,0,6.41716,270,23.443,270,39.1681,15,8,0.4,0.2,10,5,0.8
170,7/20/2020 9:13,kim,jongdae,WindingTrack,1,0,Sandy,Classic,Classic,Classic,0,44.61,10.9914,14.9865,1440,32.204,1440,69.4335,1080,99.9008,11,8.93,8.93,0,9,2,1
171,7/20/2020 9:58,woudntwannabeya,alligator,BumpyTrack,0,0,Normal,4x4,Classic,Muscle,1,85.8625,15.9888,38.8556,360,21.3111,1440,57.9042,720,81.0292,15,8,0.4,1,15,6,0.9
172,7/20/2020 9:58,Nina,63879204t7392,BumpyTrack,0,0,Normal,4x4,4x4,Classic,1,81.333,22.0373,34.7331,360,23.75,1440,60.6321,720,76.2492,21,11,0.8,1,10,6,0.9
173,7/20/2020 10:00,woudntwannabeya,alligator,BumpyTrack,0,0,Normal,4x4,Classic,Muscle,1,82.677,15.6222,33.2643,360,16.1469,1440,56.5154,720,77.2694,15,8,0.4,1,15,6,0.9
174,7/20/2020 10:00,abcd,:)),CountryTrack,0,0,Normal,Classic,Classic,Classic,1,42.2642,14.9858,28.4649,0,6.11558,270,18.4161,270,35.1479,15,8,0.4,0.2,10,5,0.8
175,7/20/2020 10:04,NK,1.23457E+15,WindingTrack,0,0,Sandy,Classic,Roadster,Roadster,1,86.716,17.9906,3.909,1440,18.9,1440,39.3511,1080,70.9161,18,5,0.6,0.2,30,5,0.9
176,7/20/2020 10:07,NK,1.23457E+15,MountainTrack,0,1,Icy,4x4,4x4,4x4,0,86.716,29.5423,29.934,990,24.251,1080,103.049,990,70.9161,21,11,0.8,1,35,11,0.9
177,7/20/2020 10:24,Haakon,Test,BumpyTrack,0,0,Normal,Roadster,Classic,Muscle,1,70.9191,16.1879,29.5178,360,13.0172,1440,47.1516,720,66.1523,15,8,0.4,0.7,15,7,0.7
178,7/20/2020 10:27,Haakon,Test,BumpyTrack,0,0,Normal,Roadster,Classic,Muscle,0,70.9191,15.5957,95.1124,360,80.0951,1440,110.013,720,66.1523,15,8,0.4,0.7,15,7,0.7
179,7/20/2020 10:28,Haakon,Test,WindingTrack,0,0,Sandy,4x4,Classic,Classic,1,76.4861,14.9866,35.9179,1440,19.4339,1440,42.0521,1080,60.3688,15,8,0.4,1,20,6,0.9
180,7/20/2020 10:31,Haakon,Test,CountryTrack,1,0,Normal,Classic,Classic,Classic,1,21.8007,29.9812,0.116715,0,1.91684,270,8.65033,270,17.9013,30,30,30,1,5,15,0.9
181,7/20/2020 11:14,12,grin,BumpyTrack,0,0,Normal,Roadster,4x4,Roadster,1,64.367,21.4269,34.2269,360,12.58,1440,46.6625,720,60.5417,21,11,0.8,0.7,20,7,0.7
182,7/20/2020 12:19,Reina,yo,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,72.1982,16.1199,30.5533,360,15.1257,1440,47.427,720,67.0668,15,8,0.4,0.2,10,6,0.8
183,7/20/2020 13:20,test,test,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,11.1189,18.9813,9.60038,0,9.08371,0,6.35023,0,1.68324,19,25.47,25.47,0.49,7,12,0
184,7/20/2020 13:21,aseem,the,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,81.2641,14.9872,42.0267,1440,22.5183,1440,46.1122,1080,64.7924,15,8,0.4,0.2,20,5,0.9
185,7/20/2020 13:24,aseem,the,MountainTrack,0,1,Icy,Classic,Roadster,Classic,1,88.5337,17.9824,52.2117,990,21.24,1080,41.2595,990,75.077,18,5,0.6,0.2,5,10,0.8
186,7/20/2020 13:29,aseem,the,MountainTrack,1,1,Icy,Classic,Classic,Classic,0,88.5337,371.177,105.012,990,21.24,1080,41.2595,990,30.3771,30,22.82,22.82,0.42,4,11,0.9
187,7/20/2020 14:25,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.0234,14.9858,24.5636,0,4.71624,270,12.8939,270,27.6804,15,8,0.4,0.2,10,5,0.8
188,7/20/2020 14:28,Reina,yo,WindingTrack,0,0,Sandy,Classic,Roadster,Classic,1,78.1123,17.9838,41.4692,1440,19.7061,1440,47.8443,1080,64.1811,18,5,0.6,0.2,20,5,0.9
189,7/20/2020 15:40,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.9206,14.9858,10.8005,0,4.98094,270,13.0607,270,28.5549,15,8,0.4,0.2,10,5,0.8
190,7/20/2020 15:54,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,34.3681,14.9858,23.8987,0,4.73233,270,13.611,270,29.137,15,8,0.4,0.2,10,5,0.8
191,7/20/2020 15:55,Reina,yo,BumpyTrack,0,0,Normal,Muscle,Classic,Muscle,1,68.1295,16.3057,27.9868,360,12.8095,1440,43.6108,720,63.0852,15,8,0.4,0.5,15,5,0.5
192,7/20/2020 23:44,RK,RK,WindingTrack,0,0,Sandy,4x4,Classic,Classic,1,85.4461,14.9866,73.41,1440,24.061,1440,49.41,1080,69.444,15,8,0.4,1,20,6,0.9
193,7/21/2020 1:55,Vijrocks,Grinnell,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.4502,14.9865,8.99247,0,5.35553,270,13.497,270,28.3787,15,8,0.4,0.2,10,5,0.8
194,7/21/2020 1:57,Vijrocks,Grinnell,BumpyTrack,0,0,Normal,Roadster,4x4,Muscle,1,62.7747,21.0814,25.0395,360,12.5773,1440,43.8368,720,58.1223,21,11,0.8,0.7,15,7,0.7
195,7/21/2020 1:59,Vijrocks,Grinnell,BumpyTrack,0,0,Normal,Roadster,Roadster,Classic,1,64.4765,18.4832,26.2272,360,14.8163,1440,42.9876,720,60.3111,18,5,0.6,0.7,10,7,0.7
196,7/21/2020 2:01,VG,Grinnell,BumpyTrack,0,0,Normal,Roadster,Classic,Classic,1,69.5539,16.0332,30.1472,360,14.0811,1440,45.568,720,64.5925,15,8,0.4,0.7,10,7,0.7
197,7/21/2020 2:07,VG,Grinnell,WindingTrack,0,0,Sandy,4x4,4x4,Muscle,1,62.6451,20.99,53.6196,1440,17.4165,1440,35.8675,1080,50.382,21,11,0.8,1,25,6,0.9
198,7/21/2020 2:09,VG,Grinnell,WindingTrack,0,0,Sandy,4x4,4x4,Muscle,1,58.8258,20.9835,38.3896,1440,14.5979,1440,32.7167,1080,46.8657,21,11,0.8,1,25,6,0.9
199,7/21/2020 2:11,VG,Grinnell,WindingTrack,0,0,Sandy,Muscle,4x4,Classic,1,61.8786,20.987,25.9755,1440,16.9168,1440,35.2022,1080,49.9003,21,11,0.8,0.5,20,5,0.6
200,7/21/2020 2:16,VG,Grinnell,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,38.9979,20.9801,13.1264,360,12.137,1440,27.2855,720,35.3268,21,11,0.8,0.2,10,5,0.8
201,7/21/2020 2:18,VG,Grinnell,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,7.05684,29.9712,6.90681,0,5.75556,0,4.03719,0,1.06764,30,30,30,0,0,0,0.9
202,7/21/2020 2:21,VG,Grinnell,MountainTrack,0,1,Icy,Roadster,4x4,Classic,1,67.7012,30.8853,49.4162,990,16.5666,1080,28.5452,990,63.1302,21,11,0.8,0.7,5,12,0.7
203,7/21/2020 2:22,VG,Grinnell,MountainTrack,0,1,Icy,Roadster,4x4,Classic,1,50.2502,25.3112,41.2413,990,12.6127,1080,24.7081,990,46.6259,21,11,0.8,0.7,5,12,0.7
204,7/21/2020 3:33,RK,RK,BumpyTrack,0,0,Normal,4x4,Classic,Classic,1,67.3239,15.1573,45.6451,360,13.0253,1440,38.1962,720,62.1059,15,8,0.4,1,10,6,0.9
205,7/21/2020 3:40,RK,RK,WindingTrack,0,0,Sandy,4x4,Classic,Classic,1,77.7988,14.9866,24.1539,1440,20.0376,1440,42.8553,1080,61.4395,15,8,0.4,1,20,6,0.9
206,7/21/2020 3:43,RK,RK,MountainTrack,0,1,Icy,4x4,4x4,Classic,1,52.4144,23.134,17.9319,990,12.474,1080,22.9084,990,45.2681,21,11,0.8,1,5,9,0.9
207,7/21/2020 3:48,RK3,RK3,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,42.2231,20.9808,9.68269,360,10.2426,1440,29.0591,720,38.3607,21,11,0.8,0.2,10,5,0.8
208,7/21/2020 3:52,RK3,RK3,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,45.1498,20.9859,5.52896,360,10.3665,1440,32.2679,720,41.2461,21,11,0.8,0.2,10,5,0.8
209,7/21/2020 3:55,RK3,RK3,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,78.7346,14.9865,74.4565,1440,21.1737,1440,44.5157,1080,62.835,15,8,0.4,0.2,20,5,0.9
210,7/21/2020 4:05,RK4,RK4,BumpyTrack,0,0,Normal,4x4,4x4,Classic,1,46.7239,21.1817,39.8621,360,9.98069,1440,32.7839,720,42.822,21,11,0.8,1,10,6,0.9
211,7/21/2020 4:10,RK4,RK4,BumpyTrack,0,0,Normal,4x4,Classic,Classic,1,70.0823,16.583,28.5395,360,13.0593,1440,45.2982,720,64.8616,15,8,0.4,1,10,6,0.9
212,7/21/2020 4:13,RK4,RK4,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,51.6763,20.9803,18.1579,360,13.6981,1440,38.1575,720,47.3567,21,11,0.8,0.2,10,5,0.8
213,7/21/2020 4:16,pri,rbs,WindingTrack,0,0,Sandy,Classic,Classic,Roadster,1,86.6833,14.9954,31.5652,1440,23.5925,1440,49.3866,1080,69.0088,15,8,0.4,0.2,30,5,0.9
214,7/21/2020 4:36,kim,jongdae,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,79.1993,16.7874,32.5857,360,15.9884,1440,50.012,720,73.7044,15,8,0.4,0.2,10,5,0.8
215,7/21/2020 4:39,RK4,RK4,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,57.2857,21.4419,25.7457,360,11.005,1440,40.3257,720,52.8836,21,11,0.8,0.2,10,5,0.8
216,7/21/2020 4:42,RK4,RK4,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,35.8959,20.9822,3.49414,360,10.6506,1440,25.3339,720,32.2668,21,11,0.8,0.2,10,5,0.8
217,7/21/2020 4:45,RK4,RK4,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,49.2396,14.9869,16.8622,360,14.8826,1440,33.6018,720,44.3984,15,8,0.4,0.2,10,5,0.8
218,7/21/2020 4:48,RK4,RK4,WindingTrack,0,0,Sandy,Classic,4x4,Classic,1,59.4568,20.9798,23.0961,1440,16.9527,1440,33.9972,1080,47.7727,21,11,0.8,0.2,20,5,0.9
219,7/21/2020 4:49,exoSC,1BillionViews,MountainTrack,0,1,Icy,Classic,Classic,Classic,1,71.2606,16.6018,55.2801,990,16.8241,1080,33.904,990,59.4777,15,8,0.4,0.2,5,8,0.8
220,7/21/2020 4:49,RK5,RK5,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,34.5235,20.9838,5.44797,360,10.2664,1440,23.0096,720,30.9485,21,11,0.8,0.2,10,5,0.8
221,7/21/2020 4:52,RK5,RK5,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,55.8159,21.5882,22.433,360,10.1347,1440,38.3322,720,51.8742,21,11,0.8,0.2,10,5,0.8
222,7/21/2020 5:03,RK5,RK5,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,46.8803,20.9828,3.54105,360,10.1407,1440,36.8336,720,43.2968,21,11,0.8,0.2,10,5,0.8
223,7/21/2020 5:07,RK5,RK%,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,37.0687,20.9813,12.0895,360,12.812,1440,26.0701,720,32.751,21,11,0.8,0.2,10,5,0.8
224,7/21/2020 5:11,RK5,RK5,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,57.9629,21.265,23.9035,360,10.1028,1440,39.1992,720,52.943,21,11,0.8,0.2,10,5,0.8
225,7/21/2020 5:13,RK5,RK5,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,77.8734,14.9865,73.4702,1440,20.2554,1440,43.4933,1080,61.816,15,8,0.4,0.2,20,5,0.9
226,7/21/2020 5:14,priyanka,rbs,BumpyTrack,0,0,Normal,Roadster,Classic,4x4,1,69.9713,16.5315,30.1993,360,14.4174,1440,45.4085,720,64.9831,15,8,0.4,0.7,40,7,0.7
227,7/21/2020 5:15,priyanka,rbs,MountainTrack,0,1,Icy,Roadster,Classic,Classic,1,69.6586,17.0797,51.9881,990,17.8823,1080,33.6146,990,59.4682,15,8,0.4,0.7,5,10,0.7
228,7/21/2020 5:25,RK4,RK4,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,73.6651,21.2252,41.2633,360,10.2444,1440,55.9267,720,69.5656,21,11,0.8,0.2,10,5,0.8
229,7/21/2020 5:28,RK4,RK4,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,56.0211,21.3322,23.5193,360,10.3842,1440,37.1009,720,50.9227,21,11,0.8,0.2,10,5,0.8
230,7/21/2020 5:29,RK5,RK5,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,37.315,20.9819,5.67359,360,10.3737,1440,26.8326,720,33.636,21,11,0.8,0.2,10,5,0.8
231,7/21/2020 5:43,RK5,RK5,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,76.7756,22.5247,51.49,360,10.1736,1440,55.432,720,73.0498,21,11,0.8,0.2,10,5,0.8
232,7/21/2020 5:47,KR,KR,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,33.7967,20.9824,14.0546,360,10.035,1440,22.1537,720,29.5738,21,11,0.8,0.2,10,5,0.8
233,7/21/2020 5:53,KR,KR,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,37.09,20.9819,3.47352,360,10.9333,1440,25.8963,720,32.6165,21,11,0.8,0.2,10,5,0.8
234,7/21/2020 6:02,KR,KR,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,62.2459,21.6224,22.807,360,10.3672,1440,39.9242,720,58.1228,21,11,0.8,0.2,10,5,0.8
235,7/21/2020 6:08,KR,KR,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,35.2425,20.9815,3.48091,360,10.2002,1440,23.5216,720,31.5039,21,11,0.8,0.2,10,5,0.8
236,7/21/2020 6:19,KR,KR,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,53.3117,21.3246,24.8707,360,10.8305,1440,39.2085,720,49.0723,21,11,0.8,0.2,10,5,0.8
237,7/21/2020 6:31,RK,RK,MountainTrack,0,1,Icy,Classic,4x4,Classic,1,65.5005,21.5956,45.7183,990,12.8378,1080,27.017,990,48.8756,21,11,0.8,0.2,5,8,0.8
238,7/21/2020 6:34,RK,RK,WindingTrack,0,0,Sandy,4x4,4x4,Classic,1,58.0322,20.9801,38.372,1440,14.4374,1440,31.01,1080,46.3766,21,11,0.8,1,20,6,0.9
239,7/21/2020 6:35,RK,RK,WindingTrack,0,0,Sandy,4x4,4x4,Classic,1,56.8935,20.9801,1.71368,1440,14.4159,1440,31.7778,1080,45.3329,21,11,0.8,1,20,6,0.9
240,7/21/2020 6:36,test,test,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,47.803,21.2418,22.684,360,10.0815,1440,34.7874,720,44.1075,21,11,0.8,0.2,10,5,0.8
241,7/21/2020 6:38,test,test,WindingTrack,0,0,Sandy,Classic,4x4,Classic,1,59.8832,20.9828,58.7803,1440,16.1203,1440,34.3428,1080,48.7984,21,11,0.8,0.2,20,5,0.9
242,7/21/2020 6:40,RK,RK,BumpyTrack,0,0,Normal,4x4,4x4,Classic,1,31.7968,21.0146,4.13174,360,9.11563,1440,20.6356,720,27.8891,21,11,0.8,1,10,6,0.9
243,7/21/2020 7:33,helo,bub,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,73.7893,16.7046,31.5027,360,14.6503,1440,48.5466,720,68.7337,15,8,0.4,0.2,10,5,0.8
244,7/21/2020 10:42,Reina,yo,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,76.8117,15.921,34.0332,360,15.172,1440,52.5079,720,71.7522,15,8,0.4,0.2,10,5,0.8
245,7/21/2020 10:43,Reina,yo,WindingTrack,0,0,Sandy,Roadster,4x4,Roadster,1,61.8877,20.9802,3.80925,1440,17.1061,1440,35.3279,1080,49.7062,21,11,0.8,0.7,30,4,0.8
246,7/21/2020 12:24,RK,RK,BumpyTrack,0,0,Normal,Classic,4x4,Classic,1,45.8844,20.9826,9.82518,360,10.9085,1440,34.2773,720,42.3115,21,11,0.8,0.2,10,5,0.8
247,7/21/2020 14:56,Reina,yo,WindingTrack,0,0,Sandy,4x4,4x4,Roadster,1,62.0684,20.9898,60.5061,1440,17.3484,1440,35.1699,1080,50.5849,21,11,0.8,1,30,6,0.9
248,7/21/2020 22:41,culls,uh,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.9661,14.9858,7.749,0,4.815,270,14.282,270,28.6982,15,8,0.4,0.2,10,5,0.8
249,7/21/2020 22:44,culls,uh,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,83.6627,15.8755,35.7331,360,15.333,1440,56.4986,720,78.1142,15,8,0.4,0.2,10,5,0.8
250,7/21/2020 22:46,culls,uh,WindingTrack,0,0,Sandy,Classic,Classic,Classic,1,77.0153,14.9881,3.916,1440,19.1331,1440,41.7162,1080,61.3993,15,8,0.4,0.2,20,5,0.9
251,7/21/2020 23:07,Liam,Liam,BumpyTrack,0,0,Normal,4x4,Classic,4x4,1,70.7301,15.9935,30.8673,360,14.817,1440,46.8651,720,65.8805,15,8,0.4,1,40,6,0.9
252,7/22/2020 5:52,exoSC,1BillionViews,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,91.032,16.7672,33.8902,360,15.0442,1440,55.427,720,83.6027,15,8,0.4,0.2,10,5,0.8
253,7/22/2020 10:04,test,test12,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,33.6734,14.9858,25.6499,0,5.53264,270,13.6709,270,28.2832,15,8,0.4,0.2,10,5,0.8
254,7/22/2020 10:04,test,test12,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,4.64998,49.9511,3.19985,0,3.88342,0,2.83341,0,1.06648,50,15.08,15.08,0.38,7,8,1
