Game, Date, PlayerID, GroupID, Track, Sandbox, Obstacles, Surface, Tire, Engine, Body, Finished, FinishedTime, TopSpeed, TimeToTopSpeed, PathCurvature1, CheckPoint1, PathCurvature2, CheckPoint2, PathCurvature3, CheckPoint3, MaxVelocity, Acceleration, AccelerationCurve, Suspension, Drag, Steer, Grip
33,7/16/2020 9:52,RK,RK,StraightTrack,1,0,Normal,Classic,Classic,Classic,1,10.559,19.9803,5.321,0,8.632,0,6.022,0,1.567,20,29.14,29.14,0.43,11,12,0.77
34,7/16/2020 9:55,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,35.6587,14.9858,23.237,0,6.53339,270,14.4772,270,30.3009,15,8,0.4,0.2,10,6,0.8
35,7/16/2020 9:56,doh,kyungsoo,WindingTrack,0,0,Sandy,Classic,Classic,Classic,0,0,14.9866,60.1353,1440,48.3253,1440,106.78,1080,0,15,8,0.4,0.2,20,6,0.9
36,7/16/2020 9:58,Reina,yo,WindingTrack,0,0,Sandy,Classic,Classic,Roadster,1,81.792,14.9887,19.9384,1440,21.8728,1440,46.0368,1080,65.4762,15,8,0.4,0.2,30,5,0.9
37,7/16/2020 9:59,doh,kyungsoo,WindingTrack,0,0,Sandy,Classic,Classic,Classic,0,0,14.9866,51.3644,1440,31.0947,1440,73.5734,1080,97.6139,15,8,0.4,0.2,20,6,0.9
38,7/16/2020 10:03,doh,kyungsoo,WindingTrack,0,0,Sandy,Classic,Classic,Classic,0,0,14.9862,106.157,1440,86.6117,1440,73.5734,1080,97.6139,15,8,0.4,0.2,20,6,0.9
39,7/16/2020 10:10,doh,kyungsoo,BumpyTrack,0,0,Normal,Classic,Classic,Classic,0,0,15.3232,81.9889,360,59.097,1440,108.112,720,97.6139,15,8,0.4,0.2,10,6,0.8
40,7/16/2020 10:13,doh,kyungsoo,BumpyTrack,0,0,Normal,Classic,Classic,Classic,1,106.418,15.4534,52.1266,360,22.523,1440,77.6163,720,101.199,15,8,0.4,0.2,10,6,0.8
41,7/16/2020 10:16,doh,kyungsoo,MountainTrack,1,1,Icy,Classic,Classic,Classic,0,106.418,14.256,101.419,990,56.4874,1080,79.9444,990,101.199,12,20.17,20.17,0,2,9,0.9
42,7/16/2020 10:17,Reina,yo,CountryTrack,0,0,Normal,Classic,Classic,Classic,1,32.3549,14.9858,10.5785,0,4.85781,270,12.574,270,27.0352,15,8,0.4,0.2,10,6,0.8
43,7/16/2020 10:18,Reina,yo,BumpyTrack,0,0,Normal,4x4,Classic,Roadster,1,70.3194,16.6832,29.7442,360,13.503,1440,45.5212,720,65.4647,15,8,0.4,1,20,6,0.9
